phecode,aou,mgi,ukb,plus20
BI_160,32594,10451,22605,1
BI_160.1,28846,9965,20684,1
BI_160.11,8235,3866,1001,1
BI_160.2,3828,459,2511,1
BI_160.21,2285,302,1482,1
BI_160.22,385,59,688,1
BI_160.3,60,9,7,0
BI_161,691,322,297,1
BI_161.2,691,322,297,1
BI_161.21,276,138,223,1
BI_161.22,47,22,10,0
BI_161.23,20,12,6,0
BI_162,3918,1453,1187,1
BI_162.1,61,40,27,1
BI_162.2,57,44,18,0
BI_162.3,26,18,71,0
BI_162.4,24,11,3,0
BI_162.8,3540,1290,,0
BI_162.81,1255,528,,0
BI_164,70035,24905,43797,1
BI_164.1,28839,9964,20675,1
BI_164.2,6859,1129,2654,1
BI_164.3,12358,6811,439,1
BI_164.6,15939,4749,2808,1
BI_164.7,29,22,,0
BI_164.8,185,66,34,1
BI_168,16692,7809,2530,1
BI_168.1,4498,1686,1231,1
BI_168.12,350,124,141,1
BI_168.15,1084,501,24,1
BI_168.18,1553,251,54,1
BI_168.2,4174,1683,736,1
BI_168.21,3551,1466,420,1
BI_168.211,929,527,,0
BI_168.213,418,89,,0
BI_168.214,697,212,,0
BI_168.22,371,155,73,1
BI_168.3,1844,492,212,1
BI_168.4,5424,2389,,0
BI_169,13004,5693,3969,1
BI_169.1,12744,5598,3954,1
BI_169.11,819,302,803,1
BI_169.12,20,16,,0
BI_169.13,14,5,,0
BI_169.14,2763,1115,205,1
BI_169.15,180,144,,0
BI_169.2,448,226,22,1
BI_170,10265,3369,6311,1
BI_170.1,5439,2225,6311,1
BI_170.12,1854,1137,,0
BI_170.13,182,73,,0
BI_170.14,85,25,,0
BI_170.2,889,408,,0
BI_171,19651,6754,197,1
BI_171.1,999,243,,0
BI_171.2,214,58,,0
BI_171.3,59,14,,0
BI_171.4,171,61,,0
BI_171.5,35,21,,0
BI_171.6,331,124,,0
BI_171.7,1207,409,197,1
BI_171.71,16,,,0
BI_171.711,7,,,0
BI_172,2271,663,1297,1
BI_172.1,313,67,9,0
BI_172.3,57,18,11,0
BI_174,5033,1815,1872,1
BI_174.1,12,6,767,0
BI_174.2,3930,1293,794,1
BI_174.21,154,57,43,1
BI_174.22,80,29,5,0
BI_174.23,5,7,,0
BI_174.5,40,14,28,0
BI_174.6,121,25,64,1
BI_174.7,303,130,190,1
BI_175,2132,700,1112,1
BI_175.2,1845,606,718,1
BI_176,4790,1061,535,1
BI_176.1,510,,,0
BI_177,24531,10006,6149,1
BI_177.1,2132,436,308,1
BI_177.11,237,42,26,1
BI_177.12,224,27,11,0
BI_177.13,382,86,133,1
BI_177.2,19718,7048,4094,1
BI_177.3,258,53,206,1
BI_177.4,4342,3326,1471,1
BI_177.41,112,36,20,1
BI_179,6711,3893,494,1
BI_179.1,1719,515,231,1
BI_179.4,262,76,64,1
BI_179.5,124,29,28,1
BI_179.6,293,69,38,1
BI_179.7,427,153,48,1
BI_179.8,21,12,5,0
BI_179.9,4522,3319,98,1
BI_180,10271,5895,1528,1
